isEdited,userName,review,date,rating,title,developerResponse
False,Linds1444,"So i started cerebral for actual help with medications. My primary doctor was managing them all, and bless her heart she tried. She would just add more medications each time I addressed a new issue. At one point I was on 7. 6 mental health related. So I joined cerebral for management of medications. They did help me decrease medications. The support staff responds promptly. But for the price of the service plus the price of all the medications it is expensive for the service I'm getting. I see a doctor MAYBE once a month if I'm lucky and they’ve changed doctors on me too. With changing doctors came changing medications. I haven’t felt regulated at all since being on this service and am searching for a physical psychiatrist. I want someone who listens to what I have to say and can properly diagnose and prescribe based on history. Unfortunately my doctors on cerebral doesn’t really listen to me or ask any questions. And when I say the medications feel like they aren’t working, they just brush it off. Cerebral could do better and do regular check ins with clients on how they’re liking the service. 

I was also double billed once for medications and they fixed that issue by delaying my next delivery. They did this quickly so that was nice.",2021-10-04 01:37:48,3,Just for in between doctors,
False,kamik00,"I canceled my subscription back in February of 2021 after months of being unsatisfied. I had never once felt cared about, my “care team” felt completely robotic, I was NEVER taken seriously.  So, I followed all the steps to cancel my account, couldn’t log back into it and thought everything was settled.. turns out, I was continually being charged still, without my knowledge, or any notification of any kind until December 2021!!  Then they gave me the run around and played the blame game, I was promised my problem would be resolved but it never has been.  You know, for a company that is supposed to CARE about people, THEY DON’T.  Once I got that startling email about charges to my card I logged into my account and saw I had several messages from my “care counselor ”, I never responded, for MONTHS, but somehow they couldn’t figure out that something was, you know, off?  “Hey maybe we should try a little harder to contact her and see if everything is ok?”.   I had to file a dispute with my bank and cancel my card to get my money back and keep them from stealing more.  They are still trying to charge my card.  I have once again gone through the cancelation process, nothing.  All I have gotten from this site is more stress, anxiety and a further distrust or medical personnel.",2022-02-03 01:35:34,1,Worst costumer service I have EVER experienced.,"{'id': 27901339, 'body': 'Hi, we’re sorry to hear that you had a negative experience when using the service and would like to take a closer look at this for you. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team', 'modified': '2022-02-07T16:58:20Z'}"
False,Regina.mcleod,"When I signed up for cerebral I chose the medication + therapy option because I was really excited to meet with a therapist (I specifically wanted someone with a PsyD or PhD, which they made seem like would be available with this option). I chose the more expensive option for this purpose. I then fill out my information to find that there are ONLY 2 therapists in my state on the app and that neither of them have availability that works for me and neither of them are PhDs or PsyDs. I was a little bummed, but I thought ""no big deal, I will just switch to care counselor + medication"". So I immediately emailed telling them about what happened and they said they would not refund me the difference between care counselor + medication and therapy + medication. Even though I did not use any of the therapy services and I emailed them immediately. They are in it for the money, 100%. They would rather lose me as a customer and keep my extra cash than make things right by letting me switch my membership and continue to be a customer. I am appalled with this company that claims to care about mental health. I asked my customer service representative if I could speak to a supervisor about this issue and have been ghosted for 3 days. Do not trust this service.",2022-01-15 15:33:11,1,Scammy because you cannot see therapist availability before paying,"{'id': 27586641, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com directly and please include your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-21T16:25:31Z'}"
False,Faggotron!(x<,"The care counselors and some providers are super helpful and sweet. They helped a lot with learning new management skills for anxiety and depression. Well, mostly just the care counselor. However, my meds were constantly off schedule and arriving late or early. If you miss an appointment they won’t refill them for you (which is a huge part of why i get them sent to my door, i constantly miss appointments and can’t get to an in person place for them) and i was going on and off meds left and right. now i’ve been unmediated for two weeks before i finally saw that they aren’t sending out any refills before another appointment. That’s fine- just would’ve been nice to be told that two weeks prior. 
If and when you decide to cancel, they make it almost impossible. Since i’ve already done the digging- don’t try in the app, don’t try through the providers or counselors or anything, they won’t do it over the phone, and your only option is an email and hope they see it in a reasonable time and don’t try to give you the go around about canceling. for me, this service is great until it just really isn’t. wouldn’t do it again over the frustration of the last year.",2022-02-16 15:57:48,2,great till it’s not,
False,miaKaiser2018,After shopping around for a couple of days I saw how highly rated Cerebral was a decided to give them a try. I signed up for the service because I had to speak to someone ASAP. I signed up and completed the forms and right away received errors messages when scheduling an appointment with a provider. The site lists so many possible options and I selected different times about one month out. The same message appeared saying that the time is no longer available. I spoke to CS. the next day and they scheduled the appointment. Unfortunately the provider never showed up to the zoom. I received a call from CS 30 minutes after the scheduled call notifying me that the provider cannot make the call and will reschedule. That information would have been useful ahead of time. The time the prolonged frame that everything happened is very inconvenient along with the lack of notice. If you are looking to speak to someone within the week. This is NOT WORTH IT. Get help somewhere else. When a 100% refund is requested they do not take accountability for the lack of rendering services and hide behind apologies and only continue to state they are a subscription model.,2022-02-04 16:22:38,2,Subscribe to receive apologies.,"{'id': 27901151, 'body': 'Hi, we’re sorry to hear that you met some challenges with using the service and would like to take a closer look at this for you. Please reach out to reviews@cerebral.com with your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team', 'modified': '2022-02-07T16:50:50Z'}"
False,I_Ronnic,"Once you purchased the subscription you take a test and then go to the appointment screen however there were no appointments available. I had to contact support and we went back and forth. I explained the problem and they would send me a generic article on how to reschedule. I had to explain that the problem was a lack of available appointments 3 times before they actually helped me.  Then once I had my first appointment it was the day before my subscription was set to renew. The first month was basically waisted because they had no available appointments. The next month was even worse, I tried making an appointment right after my first appointment was over but the whole month had already been blocked out. I had to contact support again and again they sent me the same generic article about rescheduling appointments. I was so frustrated I just stopped replying. 
In all honesty this app feels like a scam. In their terms of services they state that there are no refunds even if the services is not used do to lack of appointments. Which means they KNOW that they don’t have the workers needed to run the app correctly. They shouldn’t take on more clients if they can’t offer us the service they’re advertising!",2022-01-06 00:35:45,1,"No appointments available, waist of money.",
False,MasterPeaches,"I was really excited to try this method of therapy out. I don’t really have a lot of time to do in person therapy and the thought of just being able to message my therapist sounded awesome. It also sounded convenient to be able to have meds available if needed. However, as I was setting up my account, my therapist that was “customized and personally selected based off of my needs” was not. And I get it, can’t always get what you want, but my biggest request was that I did not feel comfortable having a male therapist. Unfortunately that was the only choice they gave me. Customer support was actually quite helpful when I reached out to them asking if I could change therapists, but apparently there was only one therapist for my entire state and it was a male, so I didn’t have any other choices for therapists. This unfortunately was a major deal breaker for me. I completely understand the shortage in mental health workers, however, it was frustrating to put my money into a subscription before finding this out, and ultimately a waste of my money. I feel like this kind of information should be disclosed before people invest their time and money in this program.",2021-09-29 20:19:42,2,Disappointed,
False,College_Student4229,"Cerebral tells you that it’s affordable therapy, but what you’re actually paying for is a care provider (and medicine if you chose to). If you want to see a license therapist through cerebral, you have to pay a few hundred dollars, just like every other therapy app. Due to hard times I was unable to pay for my monthly subscription. I knew this ahead of time and emailed cerebral to cancel my subscription (there is no other way to cancel). Cerebral cancelled my subscription, but not until two days after I was suppose to pay for this month’s subscription. When I had gotten my last check from my last job, Cerebral took out my monthly subscription payment. When I contacted someone about it, they told me that my account would be cancelled after this month. I needed that money to pay other more important bills and rent. Cerebral also cancelled my appointments I had this month, so now I am paying a monthly subscription for absolutely nothing in return. This is literally a robbery. Cerebral falsely advertises and has super fine print in their contracts. Please do yourself a favor and go use BetterHelp. I used to use them and they are so much better. They are more expensive but if you can afford it, it’s so worth it.",2021-09-11 20:26:19,1,Cerebral is a SCAM,"{'id': 25193170, 'body': ""Hello, we appreciate you taking the time to write in with this feedback. It helps us to improve in creating a more seamless and quality experience for Cerebral's clients, and we thank you for sharing this insight with us. Nonetheless, I'm so sorry to hear you faced these challenges while utilizing our service and I would like to offer my assistance to you. If you would be willing, I would appreciate the opportunity to connect soon to ensure we amend the situation. Please feel free to reach out to support@getcerebral.com and ask for me by name so that we can help to assist you in resolving these issues. Kind regards, Stefanie H.\n"", 'modified': '2021-09-19T20:30:50Z'}"
False,capuchinmonkey,"I feel I got what I needed from the service and decided to move on to something different. I was on the $85 monthly plan. It was difficult to schedule counseling sessions - sometimes the next available appointment was months out. When canceling, you must email cerebral. I received confirmation, but continued to get notifications about scheduling appointments. I followed up with an email to again confirm that my subscription was canceled. I was informed I would no longer receive notifications and my policy was indeed canceled. The following month I see a charge for $85. My account says deactivated and I even deleted my payment information, so I’m very confused why I’m still being charged. I’ve replied to the emails and I’m currently in a back and forth phone call situation with a lovely customer service rep who doesn’t seem to have the support she needs. She’s told me a refund is on the way, but that there may have been a glitch where several former members were continuing to be charged. She seems to be trying to get to the bottom of it, but the emails she’s sending me are not coming through. I hope they figure this out and I hope I actually get my refund. Will update if necessary.",2022-02-15 16:14:14,1,Charged After Cancellation,"{'id': 28112266, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com directly and please include your review’s username. We look forward to assisting you in any way we can. Best, Cerebral Team\n"", 'modified': '2022-02-17T17:36:34Z'}"
False,cuppnoodlee,"Was charged for three months before even finishing registration, when calling back asking for a refund on my money for services I never used or even had access to, was given a run around by customer service. The woman emailing me tried to lie to me about what was in their terms of service even after I pointed out multiple times that according to their billing policy I am still eligible for a refund. She tried insisting that even though registration was never completed, because I started registration I could still be billed even without verification of my ID along with payment information. All they had was my name typed out and a card number. She tried to tell me the professionals need payment for being “available” to provide me services even tho I did not use or have access to them, what does that even mean? I was not registered. I did eventually get my refund, however the fact that she would try to lie like I cannot access the terms for myself and then continue to dodge my questions and direct quotes from the terms was ridiculous. If somebody else were to not push as hard and were in my situation they would have definitely just been robbed of over $200.",2021-10-12 12:24:36,1,"Terrible Service, Stealing Money",
False,williamjosephburns,"Cerebral app= 5/5 recommended. My cerebral team experience = 5/5 recommended. Cerebral as a company to treat your ADHD? 2/5 stars. Cerebral advertises themselves to be able to provide to the masses, but they can’t. The legality and safety cerebral as a Telehealth company needs to adhere to doesn’t allow them to treat everyone with ADHD. They aren’t upfront about what they can and cannot do, and to be honest it’s misleading and seems a bit predatory. There’s a very specific requirement you need to meet in order for them to prescribe certain medications to you, and only after you’ve paid them for your visit will you find this out. The providers have all been very kind and caring, so Cerebral as a company is onto something big here. But don’t go in thinking this will DEFINITELY be a company to help you. It’s not a sure thing. You work on their terms, they don’t work on yours. If your terms match theirs then this is 100% a phenomenal program.",2021-12-23 14:15:46,5,"Cerebral is onto something, but it’s not what you think",
False,itz bIade,"Diagnosed at age 12 with ADHD but was never put on medication. Was given additional time on tests and tasks in school to try to help. 

Fast forward 29 yrs old now and work from home has gotten frustrating as now doing 1 tasks takes me so much time because I’m trying to do 3 or 4 at once and not finishing the first as well I’m at home and see things to do. 

My wife put me on to sign up, as I felt for years by doing this I would give into the feeling that I was going to admit I had a problem and that I was “stupid” and a “failure” to myself for getting help. I was hesitant it being a virtual app because well, now a days you never know. 

I Scheduled my appointment, met with my doc Alyssa and have never looked back. 

I finally after years feel like I have the clarity and can focus on 1 task without changing to 18 others and being able to finish the 1 thing and am being more productive in my work life and home life driving my wife less crazy lol. 

Could not recommend this app enough as it was quick and easy to get care and Alyssa made me feel like I mattered in my appointment and was just not another patient. 

Thank you guys for the good service and the easy in todays growing busy world. 

Again could not recommend this app enough.",2022-02-08 15:42:12,5,Was hesitant at first but it was worth it.,"{'id': 27977137, 'body': 'Thank you for your review! We are rooting for you!', 'modified': '2022-02-10T20:58:22Z'}"
False,Curlyhaireddabber,The service is trash and not worth the money. The appointments are rushed and counselors and prescribers all seemed bored and annoyed when I asked questions or spoke at all. My counselor only responded to message every other day and because of this when she sent my medication to the wrong place 4 times in a row the delay time to actually receive it took over 2 weeks because of the slow communication. I was prescribed 3 medications and was charged extra for the medication which I thought was included in the price. I know other members of cerebral with the same medications and no health insurance just like me but they didn’t have to ever pay extra so I’m not sure why I did every month. And when I asked these questions went unanswered as did most of my questions about the service. Also you only get monthly meetings with are about 15 minutes with a counselor which is ridiculous and you can only meet with your prescriber every 3 months so why is every month charged the same when all of the services are not available every month. I was a member for 5 months just to give some clarity. I tried to give them a chance.,2021-08-11 23:08:26,1,Terrible service not worth the money,"{'id': 24648373, 'body': 'Hi there, Thank you for taking the time to share your concerns. It is disappointing to hear that you did not receive the support you were looking for. This is certainly not the high standard of care that we expect from our clinicians, and I sincerely apologize for any  challenges you may have met in utilizing our services. I would like to take some time to further look into these issues and help however I can. Please feel free to contact me at (415)403-2156 or support@getcerebral.com and ask for me directly. I look forward to speaking with you. Best, Stefanie H. Cerebral Coordinator.', 'modified': '2021-08-22T21:28:23Z'}"
False,hipster_hotdog,"I was marketed to Cerebral because they “help with adhd.” I have struggled my whole life with severe symptoms. All assessments rank the symptoms high for me. They made me feel misunderstood. Put me on Zoloft which made symptoms worse for adhd. Was told to set alarms and get a planner. I signed up for meds in the mail and they didn’t deliver them on time so I went off cold Turkey for two days. My second counseling appointment was a no show to “technical issues” of which I had no communication from anyone on my “care team” about so I cancelled. It took them over 24 hours to get my meds ordered when I told them I had never received them. So the chat anytime feature, takes them a long time to reply. Having anxiety and being stressed about an appointment only to sit in the video room and your therapist never shows up… on top of paying a lot of money, just made my mental health worse. Top it off, they won’t refund me because my care appointment was the day before my billing cycle. I never got the appointment and I have to throw away $85 for a service I won’t be using. Clearly mental health isn’t on their priority list as much as taking your money is. Nice!",2022-01-02 08:40:47,1,Unreliable,"{'id': 27261649, 'body': ""Hello, We appreciate you taking the time to share your experience with us. We're sorry to hear you were not satisfied with all of our services. As a mental health company, we are wholeheartedly focused on improving the well-being of thousands of individuals who may not have had access to, or the means to afford, quality mental health care. In any event, we would like to take some time to see what we can do to correct the situation. Please reach out to us by email at reviews@cerebral.com. directly. We look forward to assisting you in any way we can. Best, Cerebral Team"", 'modified': '2022-01-05T17:54:56Z'}"
False,Allierob93,"When I went to sign up for Cerebral, there was a technical error with the app. After that was dealt with, there was a technical issue with the calendar in the app. It wasn’t allowing me to schedule anything with a prescriber. Then, there was another technical issue that prevented me from scheduling with a care coordinator. My prescriber was wonderful to talk to but then prescribed my medication in a way that my insurance didn’t accept. I tried to contact him immediately to let him know, but there’s no way to send a note to your prescriber that you need a prescription update. I tried to send a message to my care coordinator but the messaging system inside the app is also broken. 

Absolutely nothing in this app has functioned correctly for me since the moment I started. It’s been a very frustrating experience. When I told them about the technical issue, they told me to clear my cache, update my phone, or change browsers, so they have no idea what’s wrong with the app. 

If things get resolved quickly I might change my review but so far this has been a very poor experience overall.",2021-12-15 22:01:33,1,Constantly malfunctioning app,
True,Voittaa,"Update 2: I never received any services for my 2nd month, cancelled and asked for a refund, but Cerebral support’s Angelo D. rejected it. This is a subscription model, so even if they don’t give you any services, you will still be charged. Biggest waste of money ever!

 Update 1: This is my update after about a month. I was excited to find an online service to get my medication. And I enjoyed talking with my care providers for the initial sessions, but it’s been downhill from there. My providers don’t seem to listen to my needs as they’ve sent out way more medication than I said I needed. At least I got it in a timely fashion. I just don’t feel listened to and my care provider even canceled my second session last minute. Which is fine, stuff happens. However, the next available appointment is more than a month from now. With the prescriber, 2 months. Talking with your health professionals this infrequently with a monthly subscription service isn’t right. The app is almost unusable as well. Can’t book appointments or complete your tasks. Not worth the 85 a month in my opinion. I’m ending my subscription.",2021-10-04 21:59:49,1,AVOID AT ALL COSTS,"{'id': 25183986, 'body': 'Hi there, Thank you for sharing your feedback about your experience. We are so glad to hear that you are finding your time with us at Cerebral to be helpful. This is wonderful to hear. It does seem like there may have been some technical difficulties. I know this can be frustrating. I would like to take some time to see in what ways I may be able to assist. Please reach me at support@getcerebral.com by email and ask for me. Stefanie H. Cerebral Coordinator.', 'modified': '2021-10-04T21:59:49Z'}"
